Stockist,Address 1:,Address 2:,Town/City,County,postcode,Country ID,Phone number,Generic email for website,website
Jackson Yacht Services  ,,"Le Boulevard,","St. Aubin,","Jersey,","JE3 8AB,",CI,01534 743819,jacksonyacht@gmail.com,www.jacksonyacht.com
Jeckells & Son Ltd,"128 Bridge Road,","Oulton Broad,","Lowestoft,","Suffolk,","NR33 9JT,",GB,01502565007,oultonoffice@jeckells.net,jeckellschandlery.co.uk
Jersey Kayak Adventures Ltd,"Ackaless, la Grande Route de la Cote,",,"St. Clement,","Jersey,","JE2 6FW,",CI,01534853138,info@jerseykayakadventures.co.uk,www.jerseyadventures.co.uk
Jet Products Ltd,"191 Melmount Road,",,"Sion Mills,","Co. Tyrone,","BT82 9LA,",GB,02881658668,sales@jetproducts.co.uk,jetproducts.co.uk
Jolliffes Chandlery,"2-4 Birmingham Road,",,"Cowes,","Isle of Wight,","PO31 7BH,",GB,01983290100,jolliffeschandlery@gmail.com,www.jolliffeschandlery.com
Jonah Diving,"T/A Scuba-Shack,","9 Wellington Road,","Bilston,","Wolverhampton,","WV14 6AA,",GB,01902 563709,diving@scubashack.co.uk,www.scubashack.co.uk
Karitek,"Opposite the Egg Shed,","Pier Square,","Ardrishaig,","Argyll,","PA30 8DZ,",GB,01546327888,sales@karitek.co.uk,www.karitek.co.uk
Kayak King Pembrokeshire LTD,"New Holmus Farm,","Little Newcastle,",",","Pembrokeshire,","SA62 5TB,",GB,,info@kayak-king.com,kayak-king.com
Kayaks & Paddles (Manchester) Ltd ,"T/A Manchester Canoes, Unit 4 Cranford Court,","Hardwick Grange,","Warrington,",,"WA1 4RX,",GB,01925 818437,sales@manchester-canoes.co.uk,www.manchester-canoes.co.uk
Kayaks & Paddles (Plymouth) Ltd,"Unit 1 & 2 Richmond Place,","Central Avenue, Lee Mill Ind Est,","Ivybridge,","Devon,","PL21 9RL,",GB,01752 892672,sales@kayaksandpaddles.co.uk,www.kayaksandpaddles.co.uk
Kayaks & Paddles Ltd,"Bournemouth Canoes Unit,,","4 Stepnell Reach, 541 Blandford Road,"," Hamworthy, Poole,",,"BH16 5BW,",GB,,sales@kayaksandpaddles.co.uk,www.kayaksandpaddles.co.uk
Kayaks & Paddles Ltd,"Brighton Canoes, Unit17 Euro Business Park, ,","New Road,","Newhaven,","East Sussex,","BN9 0DQ,",GB,,sales@kayaksandpaddles.co.uk,www.kayaksandpaddles.co.uk
Kayaks & Paddles Ltd,"Cornwall Canoes, Canoe Shop House, ,","Newquay Road,","St Columb Road (Village),","Cornwall,","TR9 6PZ,",GB,01726 862798,sales@kayaksandpaddles.co.uk,www.kayaksandpaddles.co.uk
Kayaks & Paddles Ltd,"Norflok Canoes, Unit A, Eastern Court, ,","Ernest Gage Avenue, Longwater Business Park,","Norwich,","Norfolk,","NR5 0JU,",GB,,sales@kayaksandpaddles.co.uk,www.kayaksandpaddles.co.uk
Kayaks & Paddles Ltd,"Bantry Bay Canoes Unit ,","19 Bypass Business Park,","Bandon,",,"NULL,",GB,,sales@kayaksandpaddles.co.uk,www.kayaksandpaddles.co.uk
Kent Canoe Limited,"New House Farm,","Kemsing Road,","Wrotham,","Kent,","TN15 7BU,",GB,01732886688,info@kentcanoes.co.uk,kentcanoes.co.uk
Kildale Marine Limited,"Hull Marina,","Railway Street,","Hull,","East Yorkshire,","HU1 2DQ,",GB,01482227464,enquiries@kildalemarine.co.uk,www.kildalemarine.co.uk
King of Watersports.com,"T/A Encompass Telecom Ltd, Unit 16 Branksome Business Park,"," Bourne Valley Road,","Poole,","Dorset,","BH12 1DW,",GB,01202763675,sales@kingofwatersports.com,kingofwatersports.com
Leam Boat Centre Ltd,"Leam Boat Centre,","Mill Road,","Leamington Spa,","Warwickshire,","CV31 1BE,",GB,01926889928,info@leamboatcentre.com,www.leamboatcentre.com
Learn to dive,"T/A Wraysbury Dive Centre,","Station Road,","Wraysbury,","Middlesex,","TW19 5ND,",GB,01784 488007,info@wraysbury.ws,www.wraysbury.ws
Liverpool Power Boats,"105 Rimrose Road,","Bootle,","Liverpool,",,"L20 4HN,",GB,01519441163,info@liverpoolpowerboats.com,www.liverpoolpowerboats.co.uk
Macsalvors Ltd,"The Boathouse,","Commercial Road,","Penryn,",,"TR10 8AE,",GB,01326 377131,boathouse@macsalvors.com,www.macsalvors.com
Macsalvors Ltd,"Agar Road,","Pool,","Redruth,","Cornwall,","TR15 3RS,",GB,01209212125,boathouse@macsalvors.com,www.macsalvors.com
Maldon Chandlery Limited,"T/A Marinestore Shipways,","North Street,","Maldon,",,"CM9 5HQ,",GB,01621854280,chandlery@marinestore.co.uk,marinestore.co.uk
Marine Bazaar,"Chandlery Warehouse,","Sutton Road,","Plymouth,","Devon,","PL4 0HE,",GB,01752201023,marinebazaaruk@gmail.com,
Marine Superstore,"7-11 The Slipway,","Port Solent,","Portsmouth,",,"PO6 4TR,",GB,02392219433,sales@marinesuperstore.com,www.marinesuperstore.com
Mayles Watersports,"Lochlomond Marina,","Riverside, Balloch,","Alexandria,","Dumbartonshire,","G83 8LF,",GB,01389750587,neil@mayleswatersports.co.uk,mayleswatersports.co.uk
Mike's Dive Store,"113 Power Road,","Chiswick,","London,",,"W4 5PY,",GB,02089946006,support@mikesdivestore.com,www.mikesdivestore.com
Morton Boats,"Eagle Road,","Morton,","Swinderby,","Lincoln,","LN6 9HT,",GB,01522868689,info@mortonboats.co.uk,www.mortonboats.co.uk
Newsurf,"Newgale,",,"Haverfordwest,","Pembrokeshire,","SA62 6AS,",GB,01437721398,info@newsurf.co.uk,www.newsurf.co.uk
Nick Cox Yacht Chandler Ltd,"King's Saltern Road,",,"Lymington,","Hampshire,","SO41 3QD,",GB,01590673489,info@thechandler.co.uk,www.nickcoxchandlery.co.uk
Norfolk Canoes Ltd,"Unit A Eastern Court, Ernest Gage Avenue,","Longwater Business Park,","Norwich,","Norfolk,","NR5 0JU,",GB,01603747139,sales@norfolk-canoes.co.uk,www.norfolk-canoes.co.uk
Normans Auto Marine ,"Norman Limited,","15 Commercial Buildings,","St. Helier,","Jersey,","JE1 1BU,",CI,01534 850091,john.oneil@normans.je,www.normans.je
North Coast Wetsuits,"T/A ML & L Graham, The Rubber Shack Building 6,","Rear of Glebe Farm, St.Endellion,","Port Isaac,","Cornwall,","PL29 3TP,",GB,01208 880839,Info@northcoastwetsuits.co.uk,www.northcoastwetsuits.co.uk
Nucleus Watersports,"D4 Applebys Container Store, Brunel Business Park,","Enterprise Way,","Clacton,","Essex,","CO15 4QW,",GB,01255 812146,sales@canoes2go.co.uk,shop.canoes2go.co.uk
Ocean Sports,"17 West End,","Pentewan,","St Austell,","Cornwall,","PL26 6BX,",GB,01726842817,sales@ocean-sports.co.uk,ocean-sports.co.uk
Ocean Turtle Diving Limited,"16 Hassocks Wood,","Stroudley Road,","Basingstoke,","Hampshire,","RG24 8UQ,",GB,01256819595,info@oceanturtlediving.com,www.oceanturtlediving.com
Ocean View Diving Services Ltd,"160 South Street,",,"Lancing,","West Sussex,","BN15 8AU,",GB,01903767224,info@oceanviewdiving.co.uk,www.oceanviewdiving.co.uk
Off Axis,"North Quay Harbourside,","Abersoch,","Pwllheli,","Gwynedd,","LL53 5AY,",GB,01758 713 407,sales@offaxis.co.uk,www.offaxis.co.uk
Outdoor Active Ltd,"Damery Works, Damery Lane,","Woodford,","Berkeley,","Gloucestershire,","GL13 9JR,",GB,01454261058,sales@canoeandkayakstore.co.uk,www.canoeandkayakstore.co.uk
Outdoor Kit 4 U Ltd,"1 Wilkes Head Square ,","Pont Tyweli,","Llandysul,","Carmarthenshire,","SA44 4AA,",GB,01559363128,info@outdoorkit4u.co.uk,outdoorkit4u.co.uk
Outside Edge ,"6 McGregor Court,",,"Oban,","Argyll,","PA34 4DJ,",GB,01631 566617,outside.edge@btconnect.com,www.outsideedgeoban.com
Oyster Diving Shop Ltd,"Maritime House,","Basin Road North,","Hove,","East Sussex,","BN41 1WR,",GB,0800 699 0243,info@oysterdiving.com,www.oysterdivingshop.com
P.A.Lynch Limited,"The Captain's Locker,","Coopies Way, Coopies Industrial Estate,","Morpeth,",,"NE61 6JT,",GB,01670 512291,sales@palynch.co.uk,www.palynch.co.uk
Pacer Marine & Electronics,"Ocean House,","3 Holder Road,","Aldershot,","Hampshire,","GU12 4RH,",GB,01252317100,sales@pacermarine.co.uk,pacermarine.co.uk
Pennine Marine Ltd,"Unit 1 Backstone Business Park,","Dansk Way, Leeds Road,","Ilkley,","Yorkshire,","LS29 8JZ,",GB,0113 532 8575,info@penninemarine.com,penninemarine.com
Pinnell & Bax ltd,"Heathfield Way,","Kings Heath,","Northampton,",,"NN5 7QP,",GB,01604 592808,info@pinbax.com,www.pinbax.com
Pipe Dreams,"85 High Street,",," Uckfield,","East Sussex,","TN22 1AS,",GB,01825762323,info@pipedreams-online.co.uk,www.pipedreams-online.co.uk
Pirates Cave Ltd,"Unit 6 Kendon Business Park,","Maritime Close, Medway City Estate,","Rochester,","Kent,","ME2 4JF,",GB,01634 295233,customerservices@piratescave.co.uk,piratescave.co.uk
Plus Out limited,"Bosillion House,","Bosillion Lane,","Grampound,","Cornwall,","TR2 4QY,",GB,01872 672671,service@paddleandsurf.co.uk,paddleandsurf.co.uk
Poole Harbour Boardsailing,"284 Sandbanks Road,"," Lilliput,","Poole,","Dorset,","BH14 8HU,",GB,01202700503,info@pooleharbour.co.uk,pooleharbour.co.uk
Port Edgar Chandlery,"Port Edgar Marina,","Shore Road,","South Queensferry,","Edinburgh,","EH30 9SQ,",GB,01313313875,chandlery@portedgar.co.uk,portedgar.co.uk
Porthcawl Marine,"20 New Road,",,"Porthcawl,","Mid Glamorgan,","CF36 5DN,",GB,01656 784785,info@porthcawlmarine.co.uk,porthcawlmarine.co.uk
Powerhouse Marine Ltd,"Derwenthaugh Marina,",,"Blaydon,","Tyne & Wear,","NE21 5LL,",GB,01914140065,sales@powerhouse-marine.co.uk,www.powerhouse-marine.co.uk
Quay West Ltd,"Parkstone Yacht Club,","Pearce Avenue,","Parkstone,","Poole,","BH14 8EH,",GB,01202 732233,info@quaywestmarine.co.uk,www.quaywestmarine.co.uk
Reef Rash Watersports,"7 Kingsway,",,"Cleethorpes,","NE Lincolnshire,","DN35 8QU,",GB,01472690098,info@reefrash.co.uk,reefrash.co.uk
Reliance Marine Wirral Ltd,"Unit 2 Carham Road,","Carr Lane Industrial Estate,","Holylake, Wirral,","Merseyside,","CH47 4FF,",GB,0151 632 5735,mel@reliancemarine.com,www.reliancemarine.com
Robert Owen Marine Limited,"The Wharf,",,"Porthmadog,","Gwynedd,","LL49 9AY,",GB,01766 513435,robertowenmarine@gmail.com,www.robertowenmarine.co.uk
RR Holdings Limited,"T/A Ocean Sports Board Riders,","368 Kingsway,","Hove,","East Sussex,","BN3 4QT,",GB,01273412241,office@boardriders.co.uk,boardriders.co.uk
Safety Training & Assessment Services Ltd,,"12 Bamel Way, Gloucester Business Park,","Brockworth,","Gloucester,","GL3 4BH,",GB,01452614333,inof@stastraining.co.uk,stastraining.co.uk
Sail & Ski Ltd,"10 Queen Street,",,"Chester,",,"CH1 3LG,",GB,01244401449,info@sailandski.co.uk,wwwsailandski.co.uk
Sail and Paddle Ltd,"Croft Farm Leisure and Water Park,","Bredond Hardwick,","Tewkesbury,","Gloucestershire,","GL20 7EE,",GB,01684772321,tom@croftfarmleisure.co.uk,www.croftfarmwaterpark.com
